Name,Position,Team
Bertrand Traoré,Midfielder,Aston Villa
C.Richards,Defender,Crystal Palace
Cannon,Forward,Everton
Cork,Midfielder,Burnley
Cornet,Midfielder,West Ham
Dasilva,Midfielder,Brentford
De Bruyne,Midfielder,Man City
Delcroix,Defender,Burnley
Dendoncker,Midfielder,Aston Villa
Doak,Midfielder,Liverpool
Doyle,Midfielder,Wolves
G.Montiel,Defender,Nottm Forest
Godfrey,Defender,Everton
Gravenberch,Midfielder,Liverpool
Hill,Defender,Bournemouth
Laporte,Defender,Man City
Lascelles,Defender,Newcastle
Livramento,Defender,Newcastle
Lo Celso,Midfielder,Spurs
M.Trésor,Midfielder,Burnley
Mepham,Defender,Bournemouth
Mitrović,Forward,Fulham
Nelson,Midfielder,Arsenal
Olakigbe,Midfielder,Brentford
Onyango,Midfielder,Everton
Origi,Forward,Nottm Forest
Phillips,Midfielder,Man City
Philogene,Midfielder,Aston Villa
Reguilón,Defender,Man Utd
Rodriguez,Forward,Burnley
Sinisterra,Midfielder,Bournemouth
Targett,Defender,Newcastle
Tavares,Defender,Nottm Forest
Tomkins,Defender,Crystal Palace
Tosin,Defender,Fulham
Tsimikas,Defender,Liverpool
Vitinho,Defender,Burnley
Y. Chermiti,Forward,Everton
Zanka,Defender,Brentford
A.Davies,Goalkeeper,Sheffield Utd
A.Murphy,Defender,Newcastle
Adams,Midfielder,Bournemouth
Adrián,Goalkeeper,Liverpool
Agyei,Midfielder,Burnley
Alex Moreno,Defender,Aston Villa
Alex Telles,Defender,Man Utd
Altay,Goalkeeper,Man Utd
Alzate,Midfielder,Brighton
Amad,Midfielder,Man Utd
Amissah,Goalkeeper,Sheffield Utd
Ampadu,Defender,Chelsea
Amrabat,Midfielder,Man Utd
Anang,Goalkeeper,West Ham
Andrey,Midfielder,Nottm Forest
André Gomes,Midfielder,Everton
Arrizabalaga,Goalkeeper,Chelsea
Arter,Midfielder,Nottm Forest
Ashby,Defender,Newcastle
Aubameyang,Forward,Chelsea
Austin,Goalkeeper,Spurs
Ayari,Midfielder,Brighton
Azpilicueta,Defender,Chelsea
B.Aguilera,Midfielder,Nottm Forest
B.Badiashile,Defender,Chelsea
B.Williams,Defender,Man Utd
Baba,Defender,Chelsea
Bailly,Defender,Man Utd
Bajcetic,Midfielder,Liverpool
Balcombe,Goalkeeper,Brentford
Baleba,Midfielder,Brighton
Ballo-Touré,Defender,Fulham
Balogun,Forward,Arsenal
Bassey,Defender,Fulham
Bastien,Midfielder,Burnley
Beach,Goalkeeper,Chelsea
Bech,Defender,Brentford
Benda,Goalkeeper,Fulham
Bentancur,Midfielder,Spurs
Bentley,Goalkeeper,Wolves
Bergström,Goalkeeper,Chelsea
Bettinelli,Goalkeeper,Chelsea
Biancone,Defender,Nottm Forest
Bidstrup,Midfielder,Brentford
Bolla,Defender,Wolves
Bowler,Midfielder,Nottm Forest
Brewster,Forward,Sheffield Utd
Brierley,Midfielder,Brentford
Broja,Forward,Chelsea
Bryan,Midfielder,Spurs
Buendia,Midfielder,Aston Villa
Buonanotte,Midfielder,Brighton
Campbell,Midfielder,Luton
Cancelo,Defender,Man City
Canós,Midfielder,Brentford
Carson,Goalkeeper,Man City
Chalobah,Defender,Chelsea
Chambers,Defender,Aston Villa
Charles,Midfielder,Man City
Chiquinho,Midfielder,Wolves
Churlinov,Midfielder,Burnley
Clark,Midfielder,Luton
Clark,Midfielder,Liverpool
Clyne,Defender,Crystal Palace
Coleman,Defender,Everton
Connolly,Forward,Brighton
Cook,Defender,Nottm Forest
Costelloe,Midfielder,Burnley
Coulibaly,Midfielder,Sheffield Utd
Coventry,Midfielder,West Ham
Cox,Goalkeeper,Brentford
Cresswell,Defender,West Ham
Cucurella,Defender,Chelsea
Cundle,Midfielder,Wolves
Cédric,Defender,Arsenal
D.D.Fofana,Forward,Chelsea
Darlow,Goalkeeper,Newcastle
Davis,Forward,Aston Villa
De Fougerolles,Defender,Fulham
Deivid,Forward,Chelsea
Dele,Midfielder,Everton
Dennis,Forward,Nottm Forest
Dervişoğlu,Forward,Brentford
Dibley-Dias,Midfielder,Fulham
Diego Moreira,Midfielder,Chelsea
Dier,Defender,Spurs
Dodgson,Defender,Burnley
Doherty,Defender,Wolves
Dominguez,Midfielder,Nottm Forest
Downes,Midfielder,West Ham
